feature_name,feature_type,correlation_with_target
eval_number_E_132,bool,
eval_number_E_1321,bool,
eval_number_E_1322,bool,
eval_number_E_1324,bool,
eval_number_E_1329,bool,
eval_number_E_133,bool,
eval_number_E_1331,bool,
eval_number_E_1333,bool,
eval_number_E_1334,bool,
eval_number_E_1336,bool,
eval_number_E_1338,bool,
eval_number_E_134,bool,
eval_number_E_1340,bool,
eval_number_E_1344,bool,
eval_number_E_1346,bool,
eval_number_E_1349,bool,
eval_number_E_1350,bool,
eval_number_E_1352,bool,
eval_number_E_1355,bool,
eval_number_E_1356,bool,
eval_number_E_1358,bool,
eval_number_E_1360,bool,
eval_number_E_1361,bool,
eval_number_E_1362,bool,
eval_number_E_1363,bool,
eval_number_E_1364,bool,
eval_number_E_1367,bool,
eval_number_E_1368,bool,
eval_number_E_1369,bool,
eval_number_E_137,bool,
eval_number_E_1371,bool,
eval_number_E_1372,bool,
eval_number_E_1373,bool,
eval_number_E_1374,bool,
eval_number_E_1375,bool,
eval_number_E_1377,bool,
eval_number_E_1379,bool,
eval_number_E_138,bool,
eval_number_E_1380,bool,
eval_number_E_1382,bool,
eval_number_E_1383,bool,
eval_number_E_1387,bool,
eval_number_E_1389,bool,
eval_number_E_139,bool,
eval_number_E_1390,bool,
eval_number_E_1391,bool,
eval_number_E_1392,bool,
eval_number_E_1394,bool,
eval_number_E_1395,bool,
eval_number_E_1396,bool,
eval_number_E_1397,bool,
eval_number_E_1399,bool,
eval_number_E_14,bool,
eval_number_E_140,bool,
eval_number_E_1401,bool,
eval_number_E_1402,bool,
eval_number_E_1403,bool,
eval_number_E_1405,bool,
eval_number_E_1407,bool,
eval_number_E_1408,bool,
eval_number_E_1409,bool,
eval_number_E_141,bool,
eval_number_E_1411,bool,
eval_number_E_1412,bool,
eval_number_E_1415,bool,
eval_number_E_1417,bool,
eval_number_E_1419,bool,
eval_number_E_142,bool,
eval_number_E_1420,bool,
eval_number_E_1421,bool,
eval_number_E_1422,bool,
eval_number_E_1423,bool,
eval_number_E_1424,bool,
eval_number_E_1425,bool,
eval_number_E_1427,bool,
eval_number_E_1428,bool,
eval_number_E_143,bool,
eval_number_E_1430,bool,
eval_number_E_1431,bool,
eval_number_E_1433,bool,
eval_number_E_1434,bool,
eval_number_E_1435,bool,
eval_number_E_1436,bool,
eval_number_E_1438,bool,
eval_number_E_1439,bool,
eval_number_E_144,bool,
eval_number_E_1440,bool,
eval_number_E_1441,bool,
eval_number_E_1443,bool,
eval_number_E_1445,bool,
eval_number_E_1446,bool,
eval_number_E_1447,bool,
eval_number_E_1448,bool,
eval_number_E_1449,bool,
eval_number_E_145,bool,
eval_number_E_1453,bool,
eval_number_E_1457,bool,
eval_number_E_1458,bool,
eval_number_E_1459,bool,
eval_number_E_1460,bool,
eval_number_E_1461,bool,
eval_number_E_1464,bool,
eval_number_E_1465,bool,
eval_number_E_1466,bool,
eval_number_E_1467,bool,
eval_number_E_1468,bool,
eval_number_E_1469,bool,
eval_number_E_147,bool,
eval_number_E_1471,bool,
eval_number_E_1472,bool,
eval_number_E_1473,bool,
eval_number_E_1474,bool,
eval_number_E_1475,bool,
eval_number_E_1477,bool,
eval_number_E_1478,bool,
eval_number_E_1479,bool,
eval_number_E_148,bool,
eval_number_E_1480,bool,
eval_number_E_1481,bool,
eval_number_E_1482,bool,
eval_number_E_1483,bool,
eval_number_E_1484,bool,
eval_number_E_1485,bool,
eval_number_E_1486,bool,
eval_number_E_1487,bool,
eval_number_E_1489,bool,
eval_number_E_1492,bool,
eval_number_E_1494,bool,
eval_number_E_1495,bool,
eval_number_E_1496,bool,
eval_number_E_1497,bool,
eval_number_E_1499,bool,
eval_number_E_15,bool,
eval_number_E_150,bool,
eval_number_E_1501,bool,
eval_number_E_1502,bool,
eval_number_E_1503,bool,
eval_number_E_1504,bool,
eval_number_E_1506,bool,
eval_number_E_1507,bool,
eval_number_E_1509,bool,
eval_number_E_151,bool,
eval_number_E_1513,bool,
eval_number_E_1514,bool,
eval_number_E_1515,bool,
eval_number_E_1516,bool,
eval_number_E_152,bool,
eval_number_E_1520,bool,
eval_number_E_1522,bool,
eval_number_E_1523,bool,
eval_number_E_1525,bool,
eval_number_E_1527,bool,
eval_number_E_1529,bool,
eval_number_E_153,bool,
eval_number_E_1533,bool,
eval_number_E_1534,bool,
eval_number_E_1535,bool,
eval_number_E_1537,bool,
eval_number_E_1539,bool,
eval_number_E_154,bool,
eval_number_E_1541,bool,
eval_number_E_1542,bool,
eval_number_E_1543,bool,
eval_number_E_1544,bool,
eval_number_E_1545,bool,
eval_number_E_1546,bool,
eval_number_E_1547,bool,
eval_number_E_1548,bool,
eval_number_E_1549,bool,
eval_number_E_155,bool,
eval_number_E_1550,bool,
eval_number_E_1551,bool,
eval_number_E_1552,bool,
eval_number_E_1553,bool,
eval_number_E_1554,bool,
eval_number_E_1555,bool,
eval_number_E_1556,bool,
eval_number_E_1557,bool,
eval_number_E_1558,bool,
eval_number_E_1560,bool,
eval_number_E_1562,bool,
