feature_name,feature_type,correlation_with_target
eval_number_E_329,bool,
eval_number_E_33,bool,
eval_number_E_330,bool,
eval_number_E_331,bool,
eval_number_E_332,bool,
eval_number_E_333,bool,
eval_number_E_334,bool,
eval_number_E_335,bool,
eval_number_E_336,bool,
eval_number_E_337,bool,
eval_number_E_338,bool,
eval_number_E_339,bool,
eval_number_E_340,bool,
eval_number_E_341,bool,
eval_number_E_342,bool,
eval_number_E_343,bool,
eval_number_E_346,bool,
eval_number_E_347,bool,
eval_number_E_349,bool,
eval_number_E_35,bool,
eval_number_E_350,bool,
eval_number_E_351,bool,
eval_number_E_352,bool,
eval_number_E_353,bool,
eval_number_E_355,bool,
eval_number_E_359,bool,
eval_number_E_36,bool,
eval_number_E_361,bool,
eval_number_E_362,bool,
eval_number_E_363,bool,
eval_number_E_364,bool,
eval_number_E_366,bool,
eval_number_E_367,bool,
eval_number_E_369,bool,
eval_number_E_372,bool,
eval_number_E_373,bool,
eval_number_E_374,bool,
eval_number_E_376,bool,
eval_number_E_377,bool,
eval_number_E_378,bool,
eval_number_E_379,bool,
eval_number_E_38,bool,
eval_number_E_380,bool,
eval_number_E_381,bool,
eval_number_E_382,bool,
eval_number_E_384,bool,
eval_number_E_385,bool,
eval_number_E_386,bool,
eval_number_E_387,bool,
eval_number_E_388,bool,
eval_number_E_389,bool,
eval_number_E_39,bool,
eval_number_E_390,bool,
eval_number_E_391,bool,
eval_number_E_392,bool,
eval_number_E_393,bool,
eval_number_E_394,bool,
eval_number_E_395,bool,
eval_number_E_396,bool,
eval_number_E_397,bool,
eval_number_E_399,bool,
eval_number_E_4,bool,
eval_number_E_40,bool,
eval_number_E_401,bool,
eval_number_E_403,bool,
eval_number_E_404,bool,
eval_number_E_405,bool,
eval_number_E_406,bool,
eval_number_E_407,bool,
eval_number_E_408,bool,
eval_number_E_41,bool,
eval_number_E_410,bool,
eval_number_E_411,bool,
eval_number_E_412,bool,
eval_number_E_416,bool,
eval_number_E_417,bool,
eval_number_E_419,bool,
eval_number_E_42,bool,
eval_number_E_420,bool,
eval_number_E_421,bool,
eval_number_E_422,bool,
eval_number_E_423,bool,
eval_number_E_424,bool,
eval_number_E_425,bool,
eval_number_E_426,bool,
eval_number_E_428,bool,
eval_number_E_429,bool,
eval_number_E_430,bool,
eval_number_E_431,bool,
eval_number_E_433,bool,
eval_number_E_434,bool,
eval_number_E_436,bool,
eval_number_E_437,bool,
eval_number_E_438,bool,
eval_number_E_439,bool,
eval_number_E_440,bool,
eval_number_E_441,bool,
eval_number_E_442,bool,
eval_number_E_444,bool,
eval_number_E_445,bool,
eval_number_E_446,bool,
eval_number_E_447,bool,
eval_number_E_448,bool,
eval_number_E_449,bool,
eval_number_E_45,bool,
eval_number_E_450,bool,
eval_number_E_451,bool,
eval_number_E_452,bool,
eval_number_E_453,bool,
eval_number_E_454,bool,
eval_number_E_455,bool,
eval_number_E_456,bool,
eval_number_E_458,bool,
eval_number_E_46,bool,
eval_number_E_460,bool,
eval_number_E_461,bool,
eval_number_E_462,bool,
eval_number_E_463,bool,
eval_number_E_464,bool,
eval_number_E_465,bool,
eval_number_E_466,bool,
eval_number_E_467,bool,
eval_number_E_468,bool,
eval_number_E_469,bool,
eval_number_E_47,bool,
eval_number_E_470,bool,
eval_number_E_471,bool,
eval_number_E_473,bool,
eval_number_E_474,bool,
eval_number_E_475,bool,
eval_number_E_476,bool,
eval_number_E_477,bool,
eval_number_E_478,bool,
eval_number_E_479,bool,
eval_number_E_481,bool,
eval_number_E_482,bool,
eval_number_E_483,bool,
eval_number_E_484,bool,
eval_number_E_485,bool,
eval_number_E_486,bool,
eval_number_E_487,bool,
eval_number_E_488,bool,
eval_number_E_49,bool,
eval_number_E_491,bool,
eval_number_E_492,bool,
eval_number_E_493,bool,
eval_number_E_494,bool,
eval_number_E_495,bool,
eval_number_E_496,bool,
eval_number_E_497,bool,
eval_number_E_498,bool,
eval_number_E_499,bool,
eval_number_E_5,bool,
eval_number_E_500,bool,
eval_number_E_501,bool,
eval_number_E_502,bool,
eval_number_E_505,bool,
eval_number_E_507,bool,
eval_number_E_508,bool,
eval_number_E_51,bool,
eval_number_E_510,bool,
eval_number_E_511,bool,
eval_number_E_513,bool,
eval_number_E_514,bool,
eval_number_E_515,bool,
eval_number_E_516,bool,
eval_number_E_517,bool,
eval_number_E_518,bool,
eval_number_E_52,bool,
eval_number_E_520,bool,
eval_number_E_521,bool,
eval_number_E_522,bool,
eval_number_E_523,bool,
eval_number_E_524,bool,
eval_number_E_525,bool,
eval_number_E_526,bool,
eval_number_E_527,bool,
eval_number_E_529,bool,
eval_number_E_53,bool,
eval_number_E_530,bool,
eval_number_E_531,bool,
eval_number_E_532,bool,
eval_number_E_533,bool,
eval_number_E_534,bool,
eval_number_E_536,bool,
eval_number_E_538,bool,
eval_number_E_54,bool,
eval_number_E_543,bool,
eval_number_E_544,bool,
eval_number_E_546,bool,
eval_number_E_547,bool,
eval_number_E_548,bool,
eval_number_E_549,bool,
eval_number_E_55,bool,
eval_number_E_550,bool,
eval_number_E_551,bool,
eval_number_E_554,bool,
eval_number_E_555,bool,
eval_number_E_556,bool,
eval_number_E_558,bool,
eval_number_E_56,bool,
eval_number_E_560,bool,
eval_number_E_562,bool,
eval_number_E_564,bool,
eval_number_E_565,bool,
eval_number_E_566,bool,
eval_number_E_567,bool,
eval_number_E_568,bool,
eval_number_E_569,bool,
eval_number_E_57,bool,
eval_number_E_571,bool,
eval_number_E_573,bool,
eval_number_E_574,bool,
eval_number_E_575,bool,
eval_number_E_577,bool,
eval_number_E_578,bool,
eval_number_E_579,bool,
eval_number_E_58,bool,
eval_number_E_580,bool,
eval_number_E_581,bool,
eval_number_E_582,bool,
eval_number_E_584,bool,
eval_number_E_585,bool,
eval_number_E_586,bool,
eval_number_E_587,bool,
eval_number_E_590,bool,
eval_number_E_591,bool,
eval_number_E_592,bool,
eval_number_E_593,bool,
eval_number_E_595,bool,
eval_number_E_597,bool,
eval_number_E_599,bool,
eval_number_E_60,bool,
eval_number_E_600,bool,
eval_number_E_601,bool,
eval_number_E_602,bool,
eval_number_E_604,bool,
eval_number_E_605,bool,
eval_number_E_606,bool,
eval_number_E_608,bool,
eval_number_E_61,bool,
eval_number_E_611,bool,
eval_number_E_612,bool,
eval_number_E_613,bool,
eval_number_E_614,bool,
eval_number_E_615,bool,
eval_number_E_616,bool,
eval_number_E_618,bool,
eval_number_E_62,bool,
eval_number_E_620,bool,
eval_number_E_621,bool,
eval_number_E_622,bool,
eval_number_E_623,bool,
eval_number_E_624,bool,
eval_number_E_625,bool,
eval_number_E_626,bool,
eval_number_E_63,bool,
eval_number_E_630,bool,
eval_number_E_631,bool,
eval_number_E_632,bool,
eval_number_E_634,bool,
eval_number_E_635,bool,
eval_number_E_638,bool,
eval_number_E_639,bool,
eval_number_E_64,bool,
eval_number_E_641,bool,
eval_number_E_643,bool,
eval_number_E_644,bool,
eval_number_E_645,bool,
eval_number_E_647,bool,
eval_number_E_648,bool,
eval_number_E_649,bool,
eval_number_E_65,bool,
eval_number_E_650,bool,
eval_number_E_652,bool,
eval_number_E_653,bool,
eval_number_E_655,bool,
eval_number_E_656,bool,
eval_number_E_657,bool,
eval_number_E_659,bool,
eval_number_E_661,bool,
eval_number_E_662,bool,
eval_number_E_663,bool,
eval_number_E_664,bool,
eval_number_E_665,bool,
eval_number_E_666,bool,
eval_number_E_667,bool,
eval_number_E_669,bool,
eval_number_E_671,bool,
eval_number_E_675,bool,
eval_number_E_677,bool,
eval_number_E_679,bool,
eval_number_E_68,bool,
eval_number_E_680,bool,
eval_number_E_682,bool,
eval_number_E_683,bool,
eval_number_E_684,bool,
eval_number_E_686,bool,
eval_number_E_689,bool,
eval_number_E_690,bool,
eval_number_E_691,bool,
eval_number_E_692,bool,
eval_number_E_698,bool,
eval_number_E_699,bool,
eval_number_E_7,bool,
eval_number_E_70,bool,
eval_number_E_700,bool,
eval_number_E_701,bool,
eval_number_E_702,bool,
eval_number_E_704,bool,
eval_number_E_705,bool,
eval_number_E_707,bool,
eval_number_E_709,bool,
eval_number_E_710,bool,
eval_number_E_712,bool,
eval_number_E_714,bool,
eval_number_E_715,bool,
eval_number_E_716,bool,
eval_number_E_717,bool,
eval_number_E_72,bool,
eval_number_E_720,bool,
eval_number_E_721,bool,
eval_number_E_722,bool,
eval_number_E_723,bool,
eval_number_E_724,bool,
eval_number_E_725,bool,
eval_number_E_727,bool,
eval_number_E_728,bool,
eval_number_E_729,bool,
eval_number_E_73,bool,
eval_number_E_730,bool,
eval_number_E_731,bool,
eval_number_E_732,bool,
eval_number_E_733,bool,
eval_number_E_734,bool,
eval_number_E_738,bool,
eval_number_E_74,bool,
eval_number_E_741,bool,
eval_number_E_742,bool,
eval_number_E_743,bool,
eval_number_E_744,bool,
eval_number_E_746,bool,
eval_number_E_747,bool,
eval_number_E_749,bool,
eval_number_E_75,bool,
eval_number_E_752,bool,
eval_number_E_754,bool,
eval_number_E_757,bool,
eval_number_E_758,bool,
eval_number_E_76,bool,
eval_number_E_760,bool,
eval_number_E_762,bool,
eval_number_E_763,bool,
eval_number_E_764,bool,
eval_number_E_766,bool,
eval_number_E_769,bool,
eval_number_E_77,bool,
eval_number_E_771,bool,
eval_number_E_772,bool,
eval_number_E_773,bool,
eval_number_E_775,bool,
eval_number_E_776,bool,
eval_number_E_78,bool,
eval_number_E_780,bool,
eval_number_E_781,bool,
eval_number_E_783,bool,
eval_number_E_784,bool,
eval_number_E_785,bool,
eval_number_E_786,bool,
eval_number_E_787,bool,
eval_number_E_789,bool,
eval_number_E_79,bool,
eval_number_E_791,bool,
eval_number_E_792,bool,
eval_number_E_793,bool,
eval_number_E_796,bool,
eval_number_E_797,bool,
eval_number_E_799,bool,
eval_number_E_8,bool,
eval_number_E_80,bool,
eval_number_E_800,bool,
eval_number_E_802,bool,
eval_number_E_803,bool,
eval_number_E_804,bool,
eval_number_E_805,bool,
eval_number_E_806,bool,
eval_number_E_807,bool,
eval_number_E_808,bool,
eval_number_E_809,bool,
eval_number_E_81,bool,
eval_number_E_811,bool,
eval_number_E_812,bool,
eval_number_E_813,bool,
eval_number_E_815,bool,
eval_number_E_816,bool,
eval_number_E_817,bool,
eval_number_E_819,bool,
eval_number_E_820,bool,
eval_number_E_823,bool,
eval_number_E_824,bool,
eval_number_E_825,bool,
eval_number_E_826,bool,
eval_number_E_827,bool,
eval_number_E_828,bool,
eval_number_E_829,bool,
eval_number_E_83,bool,
eval_number_E_830,bool,
eval_number_E_832,bool,
eval_number_E_833,bool,
eval_number_E_834,bool,
eval_number_E_836,bool,
eval_number_E_837,bool,
eval_number_E_838,bool,
eval_number_E_84,bool,
eval_number_E_840,bool,
eval_number_E_842,bool,
eval_number_E_843,bool,
eval_number_E_844,bool,
eval_number_E_845,bool,
eval_number_E_846,bool,
eval_number_E_847,bool,
eval_number_E_848,bool,
eval_number_E_85,bool,
eval_number_E_850,bool,
eval_number_E_851,bool,
eval_number_E_852,bool,
eval_number_E_854,bool,
eval_number_E_855,bool,
eval_number_E_856,bool,
eval_number_E_857,bool,
eval_number_E_859,bool,
eval_number_E_86,bool,
eval_number_E_861,bool,
eval_number_E_862,bool,
eval_number_E_864,bool,
eval_number_E_865,bool,
eval_number_E_867,bool,
eval_number_E_868,bool,
eval_number_E_869,bool,
eval_number_E_872,bool,
eval_number_E_874,bool,
eval_number_E_875,bool,
eval_number_E_878,bool,
eval_number_E_879,bool,
eval_number_E_88,bool,
eval_number_E_880,bool,
eval_number_E_881,bool,
eval_number_E_882,bool,
eval_number_E_885,bool,
eval_number_E_887,bool,
eval_number_E_888,bool,
eval_number_E_889,bool,
eval_number_E_893,bool,
eval_number_E_894,bool,
eval_number_E_895,bool,
eval_number_E_896,bool,
eval_number_E_897,bool,
eval_number_E_899,bool,
eval_number_E_90,bool,
eval_number_E_900,bool,
eval_number_E_901,bool,
eval_number_E_902,bool,
eval_number_E_903,bool,
eval_number_E_904,bool,
eval_number_E_905,bool,
eval_number_E_909,bool,
eval_number_E_91,bool,
eval_number_E_910,bool,
eval_number_E_911,bool,
eval_number_E_912,bool,
eval_number_E_913,bool,
eval_number_E_916,bool,
eval_number_E_918,bool,
eval_number_E_920,bool,
eval_number_E_922,bool,
eval_number_E_923,bool,
eval_number_E_924,bool,
eval_number_E_925,bool,
eval_number_E_926,bool,
eval_number_E_927,bool,
eval_number_E_930,bool,
eval_number_E_932,bool,
eval_number_E_933,bool,
eval_number_E_934,bool,
eval_number_E_936,bool,
eval_number_E_939,bool,
eval_number_E_94,bool,
eval_number_E_940,bool,
eval_number_E_941,bool,
eval_number_E_942,bool,
eval_number_E_944,bool,
eval_number_E_945,bool,
eval_number_E_947,bool,
eval_number_E_949,bool,
eval_number_E_95,bool,
eval_number_E_950,bool,
eval_number_E_951,bool,
eval_number_E_952,bool,
eval_number_E_954,bool,
eval_number_E_956,bool,
eval_number_E_957,bool,
eval_number_E_958,bool,
eval_number_E_959,bool,
eval_number_E_96,bool,
eval_number_E_960,bool,
eval_number_E_961,bool,
eval_number_E_964,bool,
eval_number_E_966,bool,
eval_number_E_967,bool,
eval_number_E_969,bool,
eval_number_E_97,bool,
eval_number_E_970,bool,
eval_number_E_972,bool,
eval_number_E_974,bool,
eval_number_E_975,bool,
eval_number_E_976,bool,
eval_number_E_977,bool,
eval_number_E_98,bool,
eval_number_E_981,bool,
eval_number_E_982,bool,
eval_number_E_983,bool,
eval_number_E_984,bool,
eval_number_E_985,bool,
eval_number_E_986,bool,
eval_number_E_987,bool,
eval_number_E_990,bool,
eval_number_E_991,bool,
eval_number_E_992,bool,
eval_number_E_994,bool,
eval_number_E_995,bool,
eval_number_E_996,bool,
eval_number_E_997,bool,
eval_number_E_998,bool,
eval_number_E_999,bool,
heure_supplementaires_Oui,bool,
augementation_salaire_precedente_12 %,bool,
augementation_salaire_precedente_13 %,bool,
augementation_salaire_precedente_14 %,bool,
augementation_salaire_precedente_15 %,bool,
augementation_salaire_precedente_16 %,bool,
augementation_salaire_precedente_17 %,bool,
augementation_salaire_precedente_18 %,bool,
augementation_salaire_precedente_19 %,bool,
augementation_salaire_precedente_20 %,bool,
augementation_salaire_precedente_21 %,bool,
augementation_salaire_precedente_22 %,bool,
augementation_salaire_precedente_23 %,bool,
augementation_salaire_precedente_24 %,bool,
augementation_salaire_precedente_25 %,bool,
domaine_etude_Entrepreunariat,bool,
domaine_etude_Infra & Cloud,bool,
domaine_etude_Marketing,bool,
domaine_etude_Ressources Humaines,bool,
domaine_etude_Transformation Digitale,bool,
frequence_deplacement_Frequent,bool,
frequence_deplacement_Occasionnel,bool,
age_group_30-40,bool,
age_group_40-50,bool,
age_group_50+,bool,
career_stage_Mid,bool,
career_stage_Senior,bool,
career_stage_Expert,bool,
salary_quartile_Q2,bool,
salary_quartile_Q3,bool,
salary_quartile_Q4,bool,
tenure_group_Early,bool,
tenure_group_Mid,bool,
tenure_group_Long,bool,
